Route_ID,Start_Station,End_Station,Hour,Weekday,Distance_km,Travel_Time_mins,Peak_Hour,Passenger_Demand,Speed_kmph,Congestion_Level
Yellow_R4,Al Batha,Al Aziziyah,19,Monday,5.38,10.1,No,398,31.9,Low
Red_R1,Al Suwaidi,Olaya Street,13,Tuesday,4.83,9,No,367,32.3,Low
Yellow_R4,Imam Muhammad Bin Saud University,King Abdullah Financial District,21,Thursday,23.3,52.8,No,447,26.5,Medium
Green_R2,Imam Muhammad Bin Saud University,Al Yarmouk,6,Saturday,22.34,31.8,No,648,42.2,Medium
Red_R1,Al Batha,King Khalid International Airport,10,Sunday,14.29,30.8,No,235,27.8,Low
Red_R1,King Fahad Road,King Khalid International Airport,13,Monday,19.48,34.8,No,178,33.6,Low
Blue_R3,Al Murabba,King Khalid International Airport,14,Monday,23.9,29,No,542,49.5,Medium
Red_R1,King Khalid International Airport,King Abdullah Financial District,20,Thursday,3.14,6.2,No,436,30.3,Medium
Yellow_R4,Al Suwaidi,King Khalid International Airport,0,Wednesday,12.7,26.2,No,445,29.1,Low
Red_R1,Qasr Al Hokm,King Abdullah Financial District,5,Sunday,11.75,20.9,No,426,33.7,Low
Blue_R3,Prince Mohammed Bin Abdulaziz Street,Al Suwaidi,15,Friday,24.12,38.3,No,70,37.8,Low
Green_R2,Olaya Street,King Khalid International Airport,20,Tuesday,22.92,32.1,No,375,42.8,Low
Yellow_R4,Prince Mohammed Bin Abdulaziz Street,Olaya Street,5,Thursday,19.53,22.3,No,280,52.5,Low
Red_R1,Al Batha,King Khalid International Airport,22,Wednesday,21.51,37.4,No,113,34.5,Low
Red_R1,Salah Al Din,Al Yarmouk,9,Tuesday,20.26,21.1,Yes,809,57.6,High
Yellow_R4,Qasr Al Hokm,Al Batha,7,Monday,20.52,22.9,Yes,706,53.8,Medium
Red_R1,Al Murabba,King Abdullah Financial District,19,Tuesday,11.09,30.1,No,650,22.1,Medium
Green_R2,Al Malaz,Al Aziziyah,20,Friday,12.36,14.8,No,258,50,Low
Green_R2,King Fahad Road,Qasr Al Hokm,6,Sunday,10.21,13.5,No,487,45.4,Medium
Green_R2,Salah Al Din,Al Yarmouk,15,Wednesday,14.55,31,No,289,28.2,Low
Green_R2,King Khalid International Airport,Al Hayer,1,Sunday,8.71,10.5,No,175,49.9,Low
Blue_R3,King Fahad Road,Olaya Street,13,Tuesday,24.25,29.9,No,386,48.6,Low
Blue_R3,Al Batha,Al Aziziyah,14,Sunday,24.01,38.8,No,542,37.1,Medium
Red_R1,Al Hayer,Qasr Al Hokm,17,Monday,14.08,17.5,Yes,591,48.3,Medium
